name,start,end,party
Harry S. Truman,4/12/1945,1/20/1953,Democrat
Dwight D. Eisenhower,1/20/1953,1/20/1961,Republican
John F. Kennedy,1/20/1961,11/22/1963,Democrat
Lyndon B. Johnson,11/22/1963,1/20/1969,Democrat
Richard M. Nixon,1/20/1969,8/9/1974,Republican
Gerald R. Ford,8/9/1974,1/20/1977,Republican
Jimmy E. Carter,1/20/1977,1/20/1981,Democrat
Ronald W. Reagan,1/20/1981,1/20/1989,Republican
George H. W. Bush,1/20/1989,1/20/1993,Republican
William J. Clinton,1/20/1993,1/20/2001,Democrat
George W. Bush,1/20/2001,1/20/2009,Republican
Barack H. Obama,1/20/2009,1/20/2017,Democrat
Donald J. Trump,1/20/2017,1/20/2021,Republican
