airport_id,airport_name,city_name,latitude,longitude
01A,Afognak Lake Airport,"Afognak Lake, AK",58.10944444,-152.9066667
03A,Bear Creek Mining Strip,"Granite Mountain, AK",65.54805556,-161.07166669999998
04A,Lik Mining Camp,"Lik, AK",68.08333333,-163.16666669999998
05A,Little Squaw Airport,"Little Squaw, AK",67.57,-148.1838889
06A,Kizhuyak Bay,"Kizhuyak, AK",57.74527778,-152.8827778
07A,Klawock Seaplane Base,"Klawock, AK",55.55472222,-133.1016667
08A,Elizabeth Island Airport,"Elizabeth Island, AK",59.15694444,-151.8291667
09A,Augustin Island,"Homer, AK",59.36277778,-153.4305556
1B1,Columbia County,"Hudson, NY",42.29138889,-73.71027778
1G4,Grand Canyon West,"Peach Springs, AZ",35.98611111,-113.81694440000001
1N7,Blairstown Airport,"Blairstown, NJ",40.97111111,-74.9975
8F3,Crosbyton Municipal,"Crosbyton, TX",33.62388889,-101.24083329999999
A01,Blair Lake,"Fairbanks/Ft. Wainwright, AK",64.36361111,-147.3638889
A02,Deadmans Bay Airport,"Deadmans Bay, AK",57.06666667,-153.93777780000002
A03,Hallo Bay Airport,"Hallo Bay, AK",58.4575,-154.02333330000002
A04,Red Lake Airport,"Red Lake, AK",57.27722222,-154.34222219999998
A05,Shell Lake Airport,"Shell Lake, AK",61.96388889,-151.55583330000002
A06,Navigator Airstrip,"Kougarok, AK",65.65555556,-165.35638889999998
A07,Roland Norton Memorial,"Selawik, AK",66.76611111,-160.15277780000002
A08,Pillar Bay Airport,"Pillar Bay, AK",56.59805556,-134.24277780000003
A09,Johnstone Point Airport,"Johnstone Point, AK",60.48166667,-146.5841667
KTH,Tikchik Lodge Airport,"Tikchik Lodge, AK",59.95555556,-158.48055559999997
A11,Bell Creek Airport,"Bell Creek, AK",60.78388889,-159.5402778
A12,Cinnabar Airport,"Cinnabar, AK",60.78527778,-158.86444440000002
A13,Mountaintop Mine Airport,"Mountaintop Mine, AK",61.39027778,-157.9955556
A14,Whitebear Airport,"Whitebear, AK",61.18888889,-159.8583333
A15,Puviaq Airport,"Puviaq, AK",70.71555556,-154.40694440000001
A16,Arley Lake Airport,"Arley Lake, AK",70.74694444,-155.3608333
A17,Port Vita Airport,"Port Vita, AK",58.06555556,-153.0725
A18,Kantishna Airport,"Kantishna, AK",63.54111111,-150.995
A20,Alpine Airstrip,"Alpine, AK",70.34416667,-150.94472219999997
A21,Serpentine Airport,"Serpentine, AK",65.85138889,-164.7027778
A22,Driftwood Bay Airport,"Driftwood Bay, AK",53.97277778,-166.8569444
A23,Bradley Lake Airport,"Bradley Lake, AK",59.77611111,-151.9636111
A24,Chilkat Lake Airport,"Chilkat Lake, AK",59.33166667,-135.8966667
A25,Nugget Creek Airport,"Nugget Creek, AK",59.28833333,-136.1738889
A26,Ivotuk Airstrip,"Ivotuk, AK",68.48333333,-155.7333333
A27,Pogo Mines Airport,"Pogo Mines, AK",64.44,-144.9363889
A28,Ayakulik River Airport,"Ayakulik River, AK",57.25388889,-154.4222222
A29,Kiluda Bay Airport,"Kiluda Bay, AK",57.32305556,-153.14944440000002
A30,Terror Lake Airport,"Terror Lake, AK",57.96388889,-153.05833330000002
A31,Selief Bay Airport,"Selief Bay, AK",58.98277778,-153.18333330000002
A34,Laura Lake Airport,"Laura Lake, AK",58.36194444,-152.31222219999998
A36,Deep Bay Airport,"Deep Bay, AK",55.56027778,-131.65555559999999
A37,Kako Airport,"Kako, AK",61.89888889,-161.43972219999998
A38,Molly Creek Airport,"Molly Creek, AK",64.09722222,-143.2666667
A39,Ptarmigan Lake Airport,"Ptarmigan Lake, AK",61.86611111,-141.15972219999998
A40,Cape Simpson Airport,"Cape Simpson, AK",71.05694444,-154.7283333
A41,Kogru River Airport,"Kogru River, AK",70.57472222,-152.2588889
A42,Teshepkuk Lake Airport,"Teshepkuk Lake, AK",70.35833333,-153.19666669999998
A43,Trident Basin Seaplane Base,"Kodiak Island, AK",57.78083333,-152.3911111
A45,Lake Florence Airport,"Lake Florence, AK",57.81666667,-134.58333330000002
A46,Lake Hasselborg Airport,"Lake Hasselborg, AK",57.7,-134.2666667
A47,Distin Lake Airport,"Distin Lake, AK",57.61666667,-134.3666667
A48,Port Hobron Airport,"Port Hobron, AK",57.15,-153.15
A49,Mooseville Airstrip Airport,"Mooseville Airstrip, AK",70.28444444,-152.21194440000002
A50,Big Bay Airport,"Big Bay, AK",58.5625,-152.5961111
A51,Wien Lake Airport,"Wien Lake, AK",64.35277778,-151.275
A52,Silver Salmon Creek Airport,"Silver Salmon Creek, AK",59.96388889,-152.68222219999998
A53,Blear Lake Airport,"Blear Lake, AK",64.33333333,-147.5
A54,Cannery Bay Airport,"Cannery Bay, AK",53.68333333,-166.75
A56,Johnsons Landing,"Bear Lake, AK",56.03666667,-160.2661111
A57,International Seafoods Airport,"International Seafoods, AK",58.26666667,-157.5333333
A58,Cosna River Airport,"Cosna River, AK",64.5,-151.66666669999998
A59,Ivatuk Airport,"Ivatuk, AK",68.48777778,-155.7575
A61,Cape Sarichef Airport,"Cape Sarichef, AK",54.5825,-164.9144444
A62,Taylor Mountain,"Taylor Mountain Mine, AK",60.86777778,-157.3919444
A63,Coal Creek,"Yukon Charley Rivvers, AK",65.31166667,-143.13416669999998
A65,Karluk Portage Airport,"Karluk Portage, AK",57.53833333,-154.1644444
A66,Hope Airport,"Hope, AK",60.90722222,-149.62277780000002
A67,Viekoda Bay Airport,"Viekoda Bay, AK",57.84944444,-153.11527780000003
A69,Cathedral Strip,"Cold Bay, AK",55.74,-162.12527780000002
A70,Village Islands Airport,"Village Islands, AK",57.77416667,-153.5447222
A71,Bear Cove Farm,"Homer, AK",59.73833333,-151.03
A72,Chinitna Bay Airport,"Chinitna Bay, AK",59.83333333,-152.5847222
A73,McKinley National Park,"McKinley Park, AK",63.7325,-148.91055559999998
A74,Dog Fish Bay,"Nanwalek, AK",59.24111111,-151.87722219999998
A75,Malina Bay Airport,"Malina Bay, AK",58.17194444,-152.8941667
A76,Red Fox Bay Airport,"Red Fox Bay, AK",58.46444444,-152.59305559999999
A77,Shearwater Airport,"Shearwater, AK",57.34333333,-152.8972222
A78,Lake,"Cape Simpson, AK",71.03,-154.4436111
A79,Cape Simpson No. 1,"Cape Simpson, AK",71.50166667,-154.0338889
A80,Cape Simpson No. 7,"Cape Simpson, AK",70.57388889,-155.3213889
A81,Cape Simpson #1,"Aglaq, AK",70.66277778,-154.8366667
A82,Nikiski Private Airstrip,"Nikiski, AK",60.69027778,-151.2888889
A83,Petrof Point Airport,"Petrof Point, AK",59.37638889,-150.765
A84,Denali West Lodge Private,"Denali, AK",63.75555556,-147.93
A85,Big River Airport,"Big River, AK",61.85944444,-154.2766667
A87,Carry Inlet Airport,"Carry Inlet, AK",58.58305556,-152.4458333
A89,Montague Island Airport,"Montague Island, AK",59.925,-147.5166667
A90,Shannon Pond Airport,"Shannon Pond, AK",59.03916667,-158.4638889
A91,Omalik Lagoon Airport,"Omalik Lagoon, AK",69.15555556,-163.49722219999998
A92,Omolik Lagoon Airport,"Omolik Lagoon, AK",69.14805556,-163.5102778
