State Exports by NAICS Commodities,,,,
Current date: 11/14/2018 6:34 PM (Eastern Standard Time),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
Alabama,111 Agricultural Products,World Total,2002,"341,102,524"
Alabama,111 Agricultural Products,World Total,2003,"397,567,812"
Alabama,111 Agricultural Products,World Total,2004,"277,675,387"
Alabama,111 Agricultural Products,World Total,2005,"272,097,170"
Alabama,111 Agricultural Products,World Total,2006,"498,113,428"
Alabama,111 Agricultural Products,World Total,2007,"501,055,228"
Alabama,111 Agricultural Products,World Total,2008,"472,567,854"
Alabama,111 Agricultural Products,World Total,2009,"286,948,958"
Alabama,111 Agricultural Products,World Total,2010,"509,918,522"
Alabama,111 Agricultural Products,World Total,2011,"288,732,808"
Alabama,111 Agricultural Products,World Total,2012,"141,249,927"
Alabama,111 Agricultural Products,World Total,2013,"119,540,237"
Alabama,111 Agricultural Products,World Total,2014,"310,608,467"
Alabama,111 Agricultural Products,World Total,2015,"293,154,165"
Alabama,111 Agricultural Products,World Total,2016,"339,912,537"
Alabama,111 Agricultural Products,World Total,2017,"261,686,577"
Alabama,112 Livestock & Livestock Products,World Total,2002,"39,354,505"
Alabama,112 Livestock & Livestock Products,World Total,2003,"44,966,841"
Alabama,112 Livestock & Livestock Products,World Total,2004,"32,511,771"
Alabama,112 Livestock & Livestock Products,World Total,2005,"43,001,451"
Alabama,112 Livestock & Livestock Products,World Total,2006,"56,347,894"
Alabama,112 Livestock & Livestock Products,World Total,2007,"74,496,622"
Alabama,112 Livestock & Livestock Products,World Total,2008,"86,822,564"
Alabama,112 Livestock & Livestock Products,World Total,2009,"82,713,196"
Alabama,112 Livestock & Livestock Products,World Total,2010,"86,515,613"
Alabama,112 Livestock & Livestock Products,World Total,2011,"85,093,968"
Alabama,112 Livestock & Livestock Products,World Total,2012,"85,709,316"
Alabama,112 Livestock & Livestock Products,World Total,2013,"90,373,725"
Alabama,112 Livestock & Livestock Products,World Total,2014,"84,834,304"
Alabama,112 Livestock & Livestock Products,World Total,2015,"51,204,346"
Alabama,112 Livestock & Livestock Products,World Total,2016,"48,558,786"
Alabama,112 Livestock & Livestock Products,World Total,2017,"57,784,280"
Alabama,"113 Forestry Products, Nesoi",World Total,2002,"5,737,586"
Alabama,"113 Forestry Products, Nesoi",World Total,2003,"10,690,238"
Alabama,"113 Forestry Products, Nesoi",World Total,2004,"20,454,270"
Alabama,"113 Forestry Products, Nesoi",World Total,2005,"21,951,383"
Alabama,"113 Forestry Products, Nesoi",World Total,2006,"33,360,941"
Alabama,"113 Forestry Products, Nesoi",World Total,2007,"49,460,723"
Alabama,"113 Forestry Products, Nesoi",World Total,2008,"61,312,814"
Alabama,"113 Forestry Products, Nesoi",World Total,2009,"29,913,187"
Alabama,"113 Forestry Products, Nesoi",World Total,2010,"29,167,019"
Alabama,"113 Forestry Products, Nesoi",World Total,2011,"27,718,174"
Alabama,"113 Forestry Products, Nesoi",World Total,2012,"22,030,137"
Alabama,"113 Forestry Products, Nesoi",World Total,2013,"28,821,421"
Alabama,"113 Forestry Products, Nesoi",World Total,2014,"29,254,135"
Alabama,"113 Forestry Products, Nesoi",World Total,2015,"17,007,294"
Alabama,"113 Forestry Products, Nesoi",World Total,2016,"23,979,843"
Alabama,"113 Forestry Products, Nesoi",World Total,2017,"53,498,616"
