State Imports by NAICS Commodities,,,,
Current date: 11/14/2018 6:42 PM (Eastern Standard Time),,,,
State,Commodity,Country,Time,Customs Value (Gen) ($US)
Alabama,111 Agricultural Products,World Total,2008,"39,758,950"
Alabama,111 Agricultural Products,World Total,2009,"15,946,124"
Alabama,111 Agricultural Products,World Total,2010,"19,987,453"
Alabama,111 Agricultural Products,World Total,2011,"26,527,113"
Alabama,111 Agricultural Products,World Total,2012,"22,192,730"
Alabama,111 Agricultural Products,World Total,2013,"31,230,307"
Alabama,111 Agricultural Products,World Total,2014,"47,832,567"
Alabama,111 Agricultural Products,World Total,2015,"27,395,889"
Alabama,111 Agricultural Products,World Total,2016,"24,414,819"
Alabama,111 Agricultural Products,World Total,2017,"28,139,739"
Alabama,112 Livestock & Livestock Products,World Total,2008,"3,148,133"
Alabama,112 Livestock & Livestock Products,World Total,2009,"1,050,920"
Alabama,112 Livestock & Livestock Products,World Total,2010,"2,110,912"
Alabama,112 Livestock & Livestock Products,World Total,2011,"1,246,009"
Alabama,112 Livestock & Livestock Products,World Total,2012,"2,256,614"
Alabama,112 Livestock & Livestock Products,World Total,2013,"1,057,848"
Alabama,112 Livestock & Livestock Products,World Total,2014,"2,681,123"
Alabama,112 Livestock & Livestock Products,World Total,2015,"3,113,082"
Alabama,112 Livestock & Livestock Products,World Total,2016,"3,774,395"
Alabama,112 Livestock & Livestock Products,World Total,2017,"7,818,353"
Alabama,"113 Forestry Products, Nesoi",World Total,2008,"19,918,514"
Alabama,"113 Forestry Products, Nesoi",World Total,2009,"2,266,090"
Alabama,"113 Forestry Products, Nesoi",World Total,2010,"1,728,494"
Alabama,"113 Forestry Products, Nesoi",World Total,2011,"66,932,180"
Alabama,"113 Forestry Products, Nesoi",World Total,2012,"62,310,763"
Alabama,"113 Forestry Products, Nesoi",World Total,2013,"48,288,548"
Alabama,"113 Forestry Products, Nesoi",World Total,2014,"35,971,982"
Alabama,"113 Forestry Products, Nesoi",World Total,2015,"25,995,695"
Alabama,"113 Forestry Products, Nesoi",World Total,2016,"20,283,528"
Alabama,"113 Forestry Products, Nesoi",World Total,2017,"27,675,708"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2008,"3,928,764"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2009,"2,521,618"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2010,"1,661,718"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2011,"1,089,710"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2012,"2,067,856"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2013,"4,956,218"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2014,"2,896,163"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2015,"2,413,831"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2016,"2,511,424"
Alabama,"114 Fish, Fresh/chilled/frozen & Other Marine Products",World Total,2017,"2,510,789"
Alabama,211 Oil & Gas,World Total,2008,"2,832,248,983"
Alabama,211 Oil & Gas,World Total,2009,"1,287,430,138"
Alabama,211 Oil & Gas,World Total,2010,"1,566,777,729"
Alabama,211 Oil & Gas,World Total,2011,"1,363,160,925"
Alabama,211 Oil & Gas,World Total,2012,"341,751,007"
Alabama,211 Oil & Gas,World Total,2013,"348,006,228"
Alabama,211 Oil & Gas,World Total,2014,"2,645,631,902"
Alabama,211 Oil & Gas,World Total,2015,"1,817,073,036"
Alabama,211 Oil & Gas,World Total,2016,"1,896,176,423"
Alabama,211 Oil & Gas,World Total,2017,"2,081,281,463"
Alabama,212 Minerals & Ores,World Total,2008,"580,657,091"
Alabama,212 Minerals & Ores,World Total,2009,"447,481,735"
Alabama,212 Minerals & Ores,World Total,2010,"416,461,648"
Alabama,212 Minerals & Ores,World Total,2011,"270,237,444"
Alabama,212 Minerals & Ores,World Total,2012,"291,017,015"
Alabama,212 Minerals & Ores,World Total,2013,"278,454,739"
